Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 4, 40.0, -4.8
Query 2, 4, 40.0, -2.8
Query 3, 2, 20.0, -25.0
Query 4, 4, 40.0, -5.3
Query 5, 3, 30.0, -5.75
Query 6, 2, 20.0, -57.0
Query 7, 5, 50.0, 0.5
Query 8, 4, 40.0, -2.8
Query 9, 2, 20.0, -49.0
Query 10, 1, 10.0, 0
Query 11, 6, 60.0, 0.4285714285714286
Query 12, 3, 30.0, -16.5
Query 13, 2, 20.0, -17.0
Query 14, 3, 30.0, -19.25
Query 15, 5, 50.0, -5.4
Query 16, 3, 30.0, -3.0
Query 17, 4, 40.0, -1.6
Query 18, 0, 0.0, 0
Query 19, 3, 30.0, -6.25
Query 20, 0, 0.0, 0
Query 21, 5, 50.0, -0.44999999999999996
Query 22, 0, 0.0, 0
Query 23, 5, 50.0, -0.19999999999999996
Query 24, 2, 20.0, -1.0
Query 25, 2, 20.0, -8.0
Query 26, 4, 40.0, -1.2999999999999998
Query 27, 4, 40.0, -2.4
Query 28, 5, 50.0, -3.9000000000000004
Query 29, 6, 60.0, 0.4571428571428572
Query 30, 6, 60.0, -0.19999999999999996
Query 31, 2, 20.0, -25.0
Query 32, 3, 30.0, -21.25
Query 33, 0, 0.0, 0
Query 34, 4, 40.0, -4.1
Query 35, 2, 20.0, -24.0
Query 36, 4, 40.0, -2.7
Query 37, 2, 20.0, -16.0
Query 38, 5, 50.0, -1.9500000000000002
Query 39, 4, 40.0, -3.9000000000000004
Query 40, 5, 50.0, -3.3499999999999996
Query 41, 7, 70.0, -0.7142857142857142
Query 42, 2, 20.0, -16.0
Query 43, 2, 20.0, -9.0
Query 44, 5, 50.0, 0.0
Query 45, 3, 30.0, -10.5
Query 46, 6, 60.0, 0.8
Query 47, 2, 20.0, -8.0
Query 48, 1, 10.0, 0
Query 49, 2, 20.0, -9.0
Query 50, 1, 10.0, 0
Query 51, 4, 40.0, 0.5
Query 52, 1, 10.0, 0
Query 53, 2, 20.0, -24.0
Query 54, 3, 30.0, -15.5
Query 55, 5, 50.0, -1.7000000000000002
Query 56, 5, 50.0, -2.05
Query 57, 3, 30.0, -2.5
Query 58, 2, 20.0, -36.0
Query 59, 3, 30.0, -0.25
Query 60, 5, 50.0, -0.7
Query 61, 1, 10.0, 0
Query 62, 5, 50.0, -1.7000000000000002
Query 63, 6, 60.0, 0.6857142857142857
Query 64, 1, 10.0, 1
Query 65, 4, 40.0, -0.8
Query 66, 5, 50.0, -0.10000000000000009
Query 67, 0, 0.0, 0
Query 68, 6, 60.0, 0.37142857142857144
Query 69, 2, 20.0, -7.0
Query 70, 3, 30.0, -3.75
Query 71, 1, 10.0, 0
Query 72, 3, 30.0, -13.25
Query 73, 2, 20.0, -19.0
Query 74, 5, 50.0, 0.15000000000000002
Query 75, 5, 50.0, -2.0
Query 76, 3, 30.0, -4.0
Query 77, 2, 20.0, 1.0
Query 78, 1, 10.0, 0
Query 79, 5, 50.0, -0.8
Query 80, 2, 20.0, -36.0
Query 81, 1, 10.0, 1
Query 82, 3, 30.0, -13.75
Query 83, 3, 30.0, 0.25
Query 84, 3, 30.0, -6.25
Query 85, 5, 50.0, -1.75
Query 86, 4, 40.0, -1.7000000000000002
Query 87, 3, 30.0, -5.5
Query 88, 2, 20.0, -8.0
Query 89, 5, 50.0, -2.3
Query 90, 1, 10.0, 0
Query 91, 2, 20.0, -97.0
Query 92, 6, 60.0, -0.4571428571428571
Query 93, 6, 60.0, 0.7142857142857143
Query 94, 2, 20.0, -25.0
Query 95, 3, 30.0, -6.25
Query 96, 8, 80.0, -0.30952380952380953
Query 97, 2, 20.0, -64.0
Query 98, 3, 30.0, -10.25
Query 99, 5, 50.0, -1.2999999999999998
Query 100, 2, 20.0, -84.0
Averages, 3.25, 32.5, -8.854238095238095